Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,day_number,anomaly
867.63,910.42,-189.54,-186.04,852.13,-145.9,6210,1
879.23,918.14,-184.33,-182.1,862.53,-149.76,6210,1
875.67,924.18,-181.26,-166.47,866.06,-145.01,6210,1
875.28,923.15,-179.15,-174.83,865.85,-142.82,6210,1
891.66,934.26,-178.32,-173.72,876.06,-143.39,6210,1
878.54,932.38,-188.37,-177.98,870.31,-146.92,6210,1
905.94,951.32,-184.2,-182.67,889.39,-151.83,6210,1
877.83,939.63,-184.2,-181.17,875.75,-149.7,6210,1
871.01,938.73,-184.2,-181.17,871.35,-145.62,6210,1
905.46,939.06,-182.63,-178.23,871.35,-148.88,6210,1
875.11,942.88,-176.8,-168.39,878.61,-144.2,6210,1
901.2,943.19,-181.26,-172.76,880.51,-141.84,6210,1
874.51,927.81,-182.62,-179.49,867.31,-149.57,6210,1
882.43,938.17,-178.25,-167.2,874.02,-143.44,6210,1
870.1,925.33,-182.74,-176.9,864.27,-146.68,6210,1
898.47,944.3,-180.99,-165.5,881.09,-140.55,6210,1
860.7,921.5,-175.01,-164.8,860.77,-139.33,6210,1
890.84,931.01,-182.94,-180.89,874.42,-150.16,6210,1
862.19,922.43,-179.05,-169.42,864.56,-143.93,6210,1
871.39,919.13,-179.11,-174.53,864.57,-146.12,6210,1
891.74,932.76,-178.89,-174.84,876.66,-144.11,6210,1
868.0,922.29,-180.98,-175.4,868.35,-143.98,6210,1
867.43,920.34,-175.39,-167.09,866.06,-142.84,6210,1
869.09,916.98,-175.87,-165.95,864.79,-140.33,6210,1
880.62,931.83,-172.5,-155.09,875.71,-136.12,6210,1
889.37,940.07,-173.63,-170.86,882.55,-138.78,6210,1
870.75,938.4,-176.35,-165.67,877.18,-147.11,6210,1
871.49,930.46,-178.12,-160.85,874.03,-141.21,6210,1
873.51,935.66,-179.29,-168.52,876.21,-145.1,6210,1
876.25,931.09,-175.81,-161.1,872.47,-145.41,6210,1
878.9,935.18,-181.98,-169.62,874.65,-149.51,6210,1
869.73,932.03,-179.57,-171.8,870.57,-147.67,6210,1
888.68,937.4,-178.84,-172.79,879.3,-146.41,6210,1
860.38,923.5,-176.36,-162.63,863.22,-140.21,6210,1
879.96,929.25,-179.85,-171.38,872.47,-146.57,6210,1
882.01,936.59,-180.39,-163.21,876.51,-147.83,6210,1
874.88,940.33,-171.08,-153.21,875.44,-133.23,6210,1
874.95,932.81,-185.12,-172.8,869.42,-154.98,6210,1
881.43,944.06,-178.08,-166.51,877.2,-142.27,6210,1
854.63,918.08,-180.77,-163.19,856.43,-144.9,6210,1
857.08,909.77,-181.78,-168.66,852.48,-149.09,6210,1
877.69,922.39,-185.22,-173.07,865.36,-151.92,6210,1
889.6,937.66,-179.31,-171.22,877.4,-156.16,6210,1
861.07,925.61,-175.87,-156.64,864.66,-136.12,6210,1
887.02,936.7,-177.66,-162.93,877.95,-144.32,6210,1
877.08,935.74,-176.11,-150.99,871.83,-136.73,6210,1
